step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
200,95,3.227e-06,1.918e-05,5.942e+00,1.030e-05,9.283e-04,1.2087,0.5852,0.0852
200,96,5.855e-06,1.913e-05,3.267e+00,1.121e-05,8.533e-04,1.2087,0.5852,0.0852
200,100,2.477e-07,1.920e-05,7.754e+01,9.857e-06,9.652e-04,1.2087,0.5852,0.0852
200,101,6.153e-07,1.920e-05,3.121e+01,9.864e-06,9.648e-04,1.2087,0.5852,0.0852
200,105,2.615e-06,1.918e-05,7.334e+00,1.029e-05,9.269e-04,1.2087,0.5852,0.0852
200,106,5.714e-06,1.912e-05,3.346e+00,1.136e-05,8.375e-04,1.2087,0.5852,0.0852
200,124,2.824e-06,1.917e-05,6.791e+00,1.038e-05,9.215e-04,1.2087,0.5852,0.0852
200,125,8.206e-06,1.912e-05,2.331e+00,1.132e-05,8.470e-04,1.2087,0.5852,0.0852
200,129,1.093e-05,1.907e-05,1.745e+00,1.377e-05,7.790e-04,1.2087,0.5852,0.0852
200,130,2.148e-05,1.888e-05,8.787e-01,2.101e-05,5.180e-04,1.2087,0.5852,0.0852
200,134,1.728e-05,1.902e-05,1.101e+00,1.676e-05,7.059e-04,1.2087,0.5852,0.0852
200,135,3.663e-05,1.879e-05,5.130e-01,3.092e-05,4.041e-04,1.2087,0.5852,0.0852
200,139,3.582e-06,1.919e-05,5.356e+00,1.015e-05,9.371e-04,1.2087,0.5852,0.0852
200,140,8.156e-06,1.916e-05,2.349e+00,1.075e-05,8.875e-04,1.2087,0.5852,0.0852
300,22,1.175e-06,2.066e-05,1.758e+01,1.042e-05,9.951e-04,1.2840,0.5650,0.0650
300,23,2.670e-06,2.066e-05,7.736e+00,1.047e-05,9.832e-04,1.2840,0.5650,0.0650
300,27,1.330e-05,2.044e-05,1.537e+00,1.590e-05,7.609e-04,1.2840,0.5650,0.0650
300,28,3.279e-05,2.011e-05,6.133e-01,2.742e-05,4.579e-04,1.2840,0.5650,0.0650
300,32,1.658e-06,2.066e-05,1.246e+01,1.050e-05,9.888e-04,1.2840,0.5650,0.0650
300,33,3.793e-06,2.064e-05,5.443e+00,1.068e-05,9.696e-04,1.2840,0.5650,0.0650
300,37,2.030e-05,2.042e-05,1.006e+00,1.692e-05,7.242e-04,1.2840,0.5650,0.0650
300,38,3.997e-05,2.008e-05,5.023e-01,3.048e-05,4.291e-04,1.2840,0.5650,0.0650
300,56,8.677e-07,2.066e-05,2.381e+01,1.047e-05,9.923e-04,1.2840,0.5650,0.0650
