step,layer_idx,g_task_abs_mean,g_penalty_abs_mean,penalty_to_task_ratio,sqrt_v_hat_mean,update_abs_mean,lambda,flops_fraction,violation
400,135,6.816e-06,5.219e-06,7.658e-01,6.093e-06,5.779e-04,0.3318,0.5305,0.0305
400,139,3.236e-07,5.395e-06,1.667e+01,2.258e-06,1.260e-03,0.3318,0.5305,0.0305
400,140,6.323e-07,5.384e-06,8.515e+00,2.356e-06,1.210e-03,0.3318,0.5305,0.0305
500,22,1.650e-07,5.656e-06,3.429e+01,2.515e-06,1.172e-03,0.3490,0.5039,0.0039
500,23,3.659e-07,5.665e-06,1.548e+01,2.520e-06,1.166e-03,0.3490,0.5039,0.0039
500,27,3.186e-06,5.627e-06,1.766e+00,3.472e-06,9.377e-04,0.3490,0.5039,0.0039
500,28,6.672e-06,5.538e-06,8.300e-01,5.358e-06,6.211e-04,0.3490,0.5039,0.0039
500,32,2.393e-07,5.660e-06,2.365e+01,2.525e-06,1.170e-03,0.3490,0.5039,0.0039
500,33,5.233e-07,5.669e-06,1.083e+01,2.546e-06,1.159e-03,0.3490,0.5039,0.0039
500,37,2.742e-06,5.626e-06,2.052e+00,3.627e-06,9.263e-04,0.3490,0.5039,0.0039
500,38,6.393e-06,5.522e-06,8.638e-01,5.915e-06,5.887e-04,0.3490,0.5039,0.0039
500,56,1.628e-07,5.659e-06,3.477e+01,2.522e-06,1.172e-03,0.3490,0.5039,0.0039
500,57,3.562e-07,5.668e-06,1.591e+01,2.536e-06,1.167e-03,0.3490,0.5039,0.0039
500,61,3.854e-06,5.616e-06,1.457e+00,3.891e-06,8.964e-04,0.3490,0.5039,0.0039
500,62,7.406e-06,5.522e-06,7.455e-01,5.966e-06,5.760e-04,0.3490,0.5039,0.0039
500,66,1.215e-06,5.657e-06,4.655e+00,2.844e-06,1.074e-03,0.3490,0.5039,0.0039
500,67,2.715e-06,5.627e-06,2.072e+00,3.469e-06,9.155e-04,0.3490,0.5039,0.0039
500,71,1.483e-06,5.660e-06,3.817e+00,2.769e-06,1.088e-03,0.3490,0.5039,0.0039
500,72,3.019e-06,5.636e-06,1.867e+00,3.313e-06,9.299e-04,0.3490,0.5039,0.0039
500,90,4.412e-06,5.593e-06,1.268e+00,4.617e-06,8.023e-04,0.3490,0.5039,0.0039
500,91,8.544e-06,5.487e-06,6.421e-01,7.601e-06,4.697e-04,0.3490,0.5039,0.0039
500,95,5.351e-07,5.666e-06,1.059e+01,2.567e-06,1.149e-03,0.3490,0.5039,0.0039
500,96,9.469e-07,5.672e-06,5.990e+00,2.658e-06,1.101e-03,0.3490,0.5039,0.0039
500,100,4.992e-08,5.652e-06,1.132e+02,2.515e-06,1.173e-03,0.3490,0.5039,0.0039
500,101,1.075e-07,5.655e-06,5.262e+01,2.516e-06,1.173e-03,0.3490,0.5039,0.0039
500,105,8.880e-07,5.664e-06,6.379e+00,2.589e-06,1.148e-03,0.3490,0.5039,0.0039
500,106,2.058e-06,5.665e-06,2.753e+00,2.775e-06,1.076e-03,0.3490,0.5039,0.0039
500,124,8.567e-07,5.666e-06,6.614e+00,2.617e-06,1.136e-03,0.3490,0.5039,0.0039
500,125,1.779e-06,5.669e-06,3.186e+00,2.798e-06,1.064e-03,0.3490,0.5039,0.0039
500,129,1.822e-06,5.648e-06,3.100e+00,3.155e-06,1.012e-03,0.3490,0.5039,0.0039
500,130,4.071e-06,5.585e-06,1.372e+00,4.344e-06,7.410e-04,0.3490,0.5039,0.0039
500,134,3.112e-06,5.631e-06,1.809e+00,3.757e-06,9.276e-04,0.3490,0.5039,0.0039
500,135,7.890e-06,5.531e-06,7.011e-01,6.253e-06,5.686e-04,0.3490,0.5039,0.0039
500,139,2.219e-07,5.663e-06,2.552e+01,2.557e-06,1.157e-03,0.3490,0.5039,0.0039
500,140,4.815e-07,5.672e-06,1.178e+01,2.642e-06,1.121e-03,0.3490,0.5039,0.0039
600,22,1.545e-07,0.000e+00,0.000e+00,2.315e-06,1.262e-05,0.3475,0.4977,-0.0023
600,23,3.512e-07,0.000e+00,0.000e+00,2.323e-06,3.049e-05,0.3475,0.4977,-0.0023
600,27,2.863e-06,0.000e+00,0.000e+00,3.314e-06,1.461e-04,0.3475,0.4977,-0.0023
600,28,6.512e-06,0.000e+00,0.000e+00,5.246e-06,2.227e-04,0.3475,0.4977,-0.0023
600,32,1.595e-07,0.000e+00,0.000e+00,2.326e-06,1.687e-05,0.3475,0.4977,-0.0023
600,33,3.343e-07,0.000e+00,0.000e+00,2.350e-06,3.308e-05,0.3475,0.4977,-0.0023
600,37,3.065e-06,0.000e+00,0.000e+00,3.484e-06,1.595e-04,0.3475,0.4977,-0.0023
600,38,6.507e-06,0.000e+00,0.000e+00,5.826e-06,2.257e-04,0.3475,0.4977,-0.0023
600,56,1.068e-07,0.000e+00,0.000e+00,2.321e-06,1.149e-05,0.3475,0.4977,-0.0023
600,57,2.107e-07,0.000e+00,0.000e+00,2.337e-06,2.379e-05,0.3475,0.4977,-0.0023
600,61,3.714e-06,0.000e+00,0.000e+00,3.736e-06,1.601e-04,0.3475,0.4977,-0.0023
600,62,7.371e-06,0.000e+00,0.000e+00,5.870e-06,2.271e-04,0.3475,0.4977,-0.0023
600,66,1.538e-06,0.000e+00,0.000e+00,2.665e-06,8.642e-05,0.3475,0.4977,-0.0023
600,67,3.193e-06,0.000e+00,0.000e+00,3.324e-06,1.474e-04,0.3475,0.4977,-0.0023
600,71,9.985e-07,0.000e+00,0.000e+00,2.593e-06,9.500e-05,0.3475,0.4977,-0.0023
600,72,1.937e-06,0.000e+00,0.000e+00,3.175e-06,1.535e-04,0.3475,0.4977,-0.0023
600,90,5.409e-06,0.000e+00,0.000e+00,4.484e-06,1.944e-04,0.3475,0.4977,-0.0023
600,91,1.012e-05,0.000e+00,0.000e+00,7.523e-06,2.549e-04,0.3475,0.4977,-0.0023
600,95,4.903e-07,0.000e+00,0.000e+00,2.374e-06,4.351e-05,0.3475,0.4977,-0.0023
600,96,9.365e-07,0.000e+00,0.000e+00,2.482e-06,8.187e-05,0.3475,0.4977,-0.0023
600,100,2.354e-08,0.000e+00,0.000e+00,2.314e-06,3.200e-06,0.3475,0.4977,-0.0023
600,101,5.682e-08,0.000e+00,0.000e+00,2.315e-06,7.209e-06,0.3475,0.4977,-0.0023
600,105,2.922e-07,0.000e+00,0.000e+00,2.394e-06,5.536e-05,0.3475,0.4977,-0.0023
600,106,7.317e-07,0.000e+00,0.000e+00,2.592e-06,1.148e-04,0.3475,0.4977,-0.0023
600,124,7.115e-07,0.000e+00,0.000e+00,2.430e-06,6.096e-05,0.3475,0.4977,-0.0023
600,125,1.249e-06,0.000e+00,0.000e+00,2.636e-06,1.123e-04,0.3475,0.4977,-0.0023
600,129,2.232e-06,0.000e+00,0.000e+00,2.986e-06,1.206e-04,0.3475,0.4977,-0.0023
600,130,3.947e-06,0.000e+00,0.000e+00,4.219e-06,2.053e-04,0.3475,0.4977,-0.0023
600,134,3.375e-06,0.000e+00,0.000e+00,3.598e-06,1.482e-04,0.3475,0.4977,-0.0023
600,135,8.460e-06,0.000e+00,0.000e+00,6.134e-06,2.201e-04,0.3475,0.4977,-0.0023
600,139,1.963e-07,0.000e+00,0.000e+00,2.356e-06,3.154e-05,0.3475,0.4977,-0.0023
600,140,4.227e-07,0.000e+00,0.000e+00,2.441e-06,6.602e-05,0.3475,0.4977,-0.0023
700,22,1.494e-07,0.000e+00,0.000e+00,2.086e-06,1.690e-05,0.3453,0.4979,-0.0021
700,23,3.273e-07,0.000e+00,0.000e+00,2.098e-06,4.029e-05,0.3453,0.4979,-0.0021
700,27,2.558e-06,0.000e+00,0.000e+00,3.140e-06,1.561e-04,0.3453,0.4979,-0.0021
700,28,5.129e-06,0.000e+00,0.000e+00,5.140e-06,2.364e-04,0.3453,0.4979,-0.0021
700,32,2.910e-07,0.000e+00,0.000e+00,2.097e-06,1.931e-05,0.3453,0.4979,-0.0021
700,33,6.583e-07,0.000e+00,0.000e+00,2.126e-06,4.013e-05,0.3453,0.4979,-0.0021
700,37,2.667e-06,0.000e+00,0.000e+00,3.323e-06,1.550e-04,0.3453,0.4979,-0.0021
700,38,6.423e-06,0.000e+00,0.000e+00,5.742e-06,2.357e-04,0.3453,0.4979,-0.0021
700,56,1.672e-07,0.000e+00,0.000e+00,2.091e-06,1.244e-05,0.3453,0.4979,-0.0021
700,57,3.858e-07,0.000e+00,0.000e+00,2.109e-06,2.648e-05,0.3453,0.4979,-0.0021
700,61,3.525e-06,0.000e+00,0.000e+00,3.577e-06,1.839e-04,0.3453,0.4979,-0.0021
700,62,6.528e-06,0.000e+00,0.000e+00,5.786e-06,2.525e-04,0.3453,0.4979,-0.0021
700,66,1.332e-06,0.000e+00,0.000e+00,2.463e-06,9.847e-05,0.3453,0.4979,-0.0021
700,67,2.940e-06,0.000e+00,0.000e+00,3.161e-06,1.696e-04,0.3453,0.4979,-0.0021
700,71,1.034e-06,0.000e+00,0.000e+00,2.390e-06,8.960e-05,0.3453,0.4979,-0.0021
700,72,2.112e-06,0.000e+00,0.000e+00,3.010e-06,1.436e-04,0.3453,0.4979,-0.0021
700,90,4.573e-06,0.000e+00,0.000e+00,4.344e-06,2.030e-04,0.3453,0.4979,-0.0021
700,91,8.391e-06,0.000e+00,0.000e+00,7.457e-06,2.547e-04,0.3453,0.4979,-0.0021
700,95,4.631e-07,0.000e+00,0.000e+00,2.154e-06,4.177e-05,0.3453,0.4979,-0.0021
700,96,8.961e-07,0.000e+00,0.000e+00,2.277e-06,8.158e-05,0.3453,0.4979,-0.0021
700,100,4.253e-08,0.000e+00,0.000e+00,2.084e-06,3.046e-06,0.3453,0.4979,-0.0021
700,101,1.003e-07,0.000e+00,0.000e+00,2.085e-06,6.878e-06,0.3453,0.4979,-0.0021
700,105,5.240e-07,0.000e+00,0.000e+00,2.172e-06,4.713e-05,0.3453,0.4979,-0.0021
700,106,1.259e-06,0.000e+00,0.000e+00,2.387e-06,1.107e-04,0.3453,0.4979,-0.0021
700,124,8.412e-07,0.000e+00,0.000e+00,2.212e-06,5.828e-05,0.3453,0.4979,-0.0021
700,125,1.757e-06,0.000e+00,0.000e+00,2.438e-06,1.058e-04,0.3453,0.4979,-0.0021
700,129,2.028e-06,0.000e+00,0.000e+00,2.799e-06,1.279e-04,0.3453,0.4979,-0.0021
700,130,4.092e-06,0.000e+00,0.000e+00,4.092e-06,1.912e-04,0.3453,0.4979,-0.0021
700,134,3.050e-06,0.000e+00,0.000e+00,3.427e-06,1.606e-04,0.3453,0.4979,-0.0021
