step,layer_idx,layer_name,mean,std,min,max,frac_active,num_neurons
2500,130,ElasticLinear,0.0272,0.2945,-0.7352,0.7826,0.4479,192
2500,134,ElasticLinear,-0.1655,0.0070,-0.2146,-0.1298,0.0000,768
2500,135,ElasticLinear,-0.1644,0.0116,-0.2135,-0.1306,0.0000,192
2500,139,ElasticLinear,0.1505,0.4114,-0.7289,1.2775,0.6029,768
2500,140,ElasticLinear,0.3029,0.4490,-0.7880,1.1499,0.7188,192
3000,22,ElasticLinear,0.0140,0.3902,-1.0551,1.2418,0.4414,768
3000,23,ElasticLinear,0.2326,0.4700,-1.1691,1.1606,0.6615,192
3000,27,ElasticLinear,-0.1632,0.0184,-0.2564,-0.0536,0.0000,768
3000,28,ElasticLinear,-0.1565,0.0309,-0.2761,-0.0771,0.0000,192
3000,32,ElasticLinear,0.1123,0.5012,-1.3081,1.6488,0.5378,768
3000,33,ElasticLinear,0.3198,0.5827,-0.9751,1.4725,0.6458,192
3000,37,ElasticLinear,0.0023,0.3447,-1.0473,1.3919,0.4115,768
3000,38,ElasticLinear,0.1765,0.4516,-0.8839,1.1434,0.6302,192
3000,56,ElasticLinear,0.1039,0.4811,-1.1220,1.6702,0.5482,768
3000,57,ElasticLinear,0.3228,0.5759,-1.1323,1.5467,0.7083,192
3000,61,ElasticLinear,0.0844,0.4784,-1.0671,1.6027,0.5352,768
3000,62,ElasticLinear,0.2878,0.5274,-0.8476,1.3510,0.6875,192
3000,66,ElasticLinear,-0.1661,0.0002,-0.1672,-0.1651,0.0000,768
3000,67,ElasticLinear,-0.1661,0.0003,-0.1671,-0.1649,0.0000,192
3000,71,ElasticLinear,-0.1655,0.0040,-0.1834,-0.1406,0.0000,768
3000,72,ElasticLinear,-0.1639,0.0087,-0.2001,-0.1313,0.0000,192
3000,90,ElasticLinear,-0.0924,0.2248,-0.8456,0.8358,0.2214,768
3000,91,ElasticLinear,0.0131,0.3211,-0.8788,0.7844,0.4323,192
3000,95,ElasticLinear,0.0435,0.4176,-0.9681,1.4613,0.4701,768
3000,96,ElasticLinear,0.2407,0.4740,-0.7798,1.2553,0.6823,192
3000,100,ElasticLinear,0.0721,0.4393,-0.9349,1.5192,0.4844,768
3000,101,ElasticLinear,0.2456,0.5162,-0.9839,1.3115,0.6667,192
3000,105,ElasticLinear,-0.0521,0.2936,-0.8153,0.9798,0.3359,768
3000,106,ElasticLinear,0.0814,0.3657,-0.7544,0.9352,0.5156,192
3000,124,ElasticLinear,-0.0359,0.3394,-0.9329,1.2306,0.3737,768
3000,125,ElasticLinear,0.1425,0.4520,-0.9504,1.1680,0.5573,192
3000,129,ElasticLinear,-0.0750,0.2526,-0.9443,0.9942,0.2617,768
